Years_in_CS,Programming_Languages,Frameworks,Databases,DevOps_Tools,Networking_Experience,Cybersecurity_Experience,AI_Data_Science_Experience,Current_Role,Happy_in_Current_Role,Current_Role_Difficulty
Less than 1 year,C#,SwiftUI,Other (please specify),Nginx,Yes,No,No,Full-Stack Developer,Yes,Yes
3-5 years,TypeScript,Apache Spark,MongoDB,Travis CI,Yes,No,No,Front-End Developer,No,Yes
3-5 years,PHP,Scikit-Learn,OracleDB,Terraform,Yes,Yes,No,Robotics Engineer,No,No
More than 5 years,None,Electron,OracleDB,Azure,No,Yes,No,Project Manager,Yes,No
More than 5 years,Java,React,MongoDB,Travis CI,No,Yes,Yes,Network Engineer,No,No
1-3 years,C,TensorFlow,SQLite,Nginx,No,Yes,No,Back-End Developer,No,Yes
More than 5 years,Other (please specify),Burp Suite,Microsoft SQL Server,Nginx,No,Yes,No,Front-End Developer,No,Yes
None,JavaScript,React Native,Microsoft SQL Server,Google Cloud Platform,No,Yes,Yes,Network Engineer,Yes,No
Less than 1 year,Kotlin,Express.js,MongoDB,AWS,No,Yes,Yes,Network Engineer,No,No
Less than 1 year,TypeScript,React,MySQL,DigitalOcean,No,Yes,No,DevOps Engineer,Yes,No
3-5 years,Go,Burp Suite,MySQL,Terraform,No,Yes,No,Software Engineer,Yes,No
None,Dart,SwiftUI,Redis,Google Cloud Platform,Yes,No,No,IT Support Specialist,No,No
None,Ruby,Dask,Redis,Git,No,No,No,Systems Analyst,Yes,No
1-3 years,C#,WPF,OracleDB,Google Cloud Platform,No,No,No,Other (please specify),Yes,No
1-3 years,Swift,Wireshark,Other (please specify),Apache,No,No,Yes,Robotics Engineer,Yes,Yes
More than 5 years,Swift,React Native,Microsoft SQL Server,Google Cloud Platform,No,No,No,Data Scientist,No,Yes
1-3 years,Go,Electron,SQLite,Google Cloud Platform,Yes,Yes,No,Project Manager,No,Yes
More than 5 years,Rust,Metasploit,CassandraDB,Other (please specify),No,No,No,Database Administrator,No,No
None,Rust,Unity,Microsoft SQL Server,Other (please specify),Yes,Yes,Yes,Cloud Engineer,No,Yes
More than 5 years,Go,SwiftUI,SQLite,AWS,No,No,No,Systems Analyst,No,No
None,Swift,Pandas,Other (please specify),Azure,Yes,Yes,No,Game Developer,No,No
None,Java,React,MySQL,DigitalOcean,No,No,No,Product Manager,Yes,No
None,Rust,Kotlin Multiplatform Mobile (KMM),SQLite,Jenkins,Yes,Yes,No,Software Engineer,No,No
3-5 years,PHP,PyTorch,Redis,Ansible,Yes,No,Yes,Front-End Developer,Yes,No
Less than 1 year,Ruby,CryEngine,MongoDB,Nginx,No,No,Yes,AI Researcher,Yes,No
3-5 years,Rust,Unity,SQLite,Google Cloud Platform,Yes,No,Yes,DevOps Engineer,Yes,No
Less than 1 year,Dart,Apache Spark,Redis,GitLab CI/CD,No,No,Yes,Database Administrator,No,Yes
None,Python,Svelte,SQLite,Jenkins,Yes,No,No,Project Manager,Yes,No
More than 5 years,Dart,Flask,MySQL,Azure,No,Yes,Yes,Front-End Developer,Yes,Yes
Less than 1 year,Java,Flask,PostgreSQL,Travis CI,Yes,Yes,Yes,Cybersecurity Analyst,Yes,Yes
None,TypeScript,OpenVAS,PostgreSQL,CircleCI,Yes,Yes,No,Data Scientist,Yes,No
Less than 1 year,Java,SwiftUI,OracleDB,Terraform,Yes,No,No,Full-Stack Developer,Yes,No
3-5 years,Rust,Wireshark,Other (please specify),Travis CI,No,No,Yes,Game Developer,Yes,No
None,Kotlin,React Native,Microsoft SQL Server,Azure,Yes,Yes,Yes,Machine Learning Engineer,No,Yes
More than 5 years,PHP,Ruby on Rails,MongoDB,Docker,Yes,Yes,No,Data Engineer,No,No
None,TypeScript,GTK,MySQL,Travis CI,No,No,No,Machine Learning Engineer,No,No
None,C#,Wireshark,SQLite,Terraform,Yes,No,Yes,Robotics Engineer,No,Yes
3-5 years,C#,Vue.js,OracleDB,CircleCI,Yes,Yes,Yes,Database Administrator,Yes,Yes
Less than 1 year,PHP,Keras,Redis,Ansible,No,Yes,Yes,Product Manager,Yes,No
1-3 years,Python,Ruby on Rails,SQLite,Apache,Yes,Yes,No,Game Developer,Yes,Yes
Less than 1 year,Ruby,Apache Spark,MySQL,Terraform,Yes,No,No,Systems Analyst,Yes,No
1-3 years,Go,Apache Spark,OracleDB,Docker,No,Yes,No,AI Researcher,Yes,No
3-5 years,Swift,Kotlin Multiplatform Mobile (KMM),PostgreSQL,Ansible,No,No,Yes,Data Engineer,No,Yes
3-5 years,Kotlin,Next.js,Microsoft SQL Server,Azure,Yes,No,Yes,Software Engineer,No,No
1-3 years,C#,Apache Spark,PostgreSQL,Jenkins,No,Yes,No,Cloud Engineer,No,Yes
More than 5 years,TypeScript,Ruby on Rails,Other (please specify),DigitalOcean,No,No,Yes,Back-End Developer,Yes,No
More than 5 years,Kotlin,.NET Core,SQLite,DigitalOcean,Yes,No,No,Project Manager,No,Yes
1-3 years,Swift,Scikit-Learn,OracleDB,Nginx,Yes,No,No,Mobile Developer,Yes,No
Less than 1 year,C#,TensorFlow,OracleDB,GitLab CI/CD,Yes,No,Yes,Data Engineer,Yes,No
None,C#,Express.js,Redis,AWS,Yes,No,Yes,Machine Learning Engineer,Yes,Yes
3-5 years,None,Scikit-Learn,Microsoft SQL Server,GitLab CI/CD,No,Yes,Yes,Cloud Engineer,No,No
None,Python,Qt,Other (please specify),AWS,Yes,Yes,Yes,Full-Stack Developer,Yes,No
1-3 years,Ruby,Angular,Redis,Docker,Yes,No,No,Project Manager,Yes,Yes
More than 5 years,Python,Kotlin Multiplatform Mobile (KMM),MongoDB,AWS,Yes,Yes,No,Full-Stack Developer,Yes,Yes
Less than 1 year,PHP,Numpy,Microsoft SQL Server,CircleCI,Yes,Yes,Yes,Full-Stack Developer,Yes,No
Less than 1 year,PHP,Numpy,Other (please specify),Jenkins,Yes,No,Yes,Database Administrator,Yes,No
1-3 years,Java,Unreal Engine,OracleDB,Nginx,No,Yes,Yes,Project Manager,Yes,No
More than 5 years,Dart,CryEngine,Other (please specify),Google Cloud Platform,No,No,Yes,Robotics Engineer,Yes,No
Less than 1 year,C++,Flask,Other (please specify),Jenkins,No,Yes,Yes,Machine Learning Engineer,No,No
3-5 years,Other (please specify),Scikit-Learn,CassandraDB,Other (please specify),Yes,No,No,Cloud Engineer,Yes,Yes
3-5 years,TypeScript,React,Microsoft SQL Server,Terraform,Yes,Yes,No,DevOps Engineer,Yes,Yes
1-3 years,JavaScript,Scikit-Learn,MySQL,AWS,No,Yes,No,Front-End Developer,Yes,Yes
3-5 years,Ruby,Scikit-Learn,PostgreSQL,Google Cloud Platform,Yes,No,No,AI Researcher,No,No
Less than 1 year,Swift,WPF,OracleDB,Nginx,No,No,Yes,Software Engineer,Yes,No
More than 5 years,PHP,TensorFlow,PostgreSQL,Apache,Yes,No,No,Data Engineer,No,Yes
None,Other (please specify),React,MongoDB,GitLab CI/CD,No,No,No,IT Support Specialist,No,No
3-5 years,Rust,Scikit-Learn,OracleDB,Ansible,Yes,Yes,Yes,Data Scientist,No,Yes
Less than 1 year,C#,Pandas,MongoDB,Terraform,No,Yes,Yes,Game Developer,No,Yes
3-5 years,Other (please specify),Svelte,OracleDB,Nginx,Yes,Yes,Yes,Robotics Engineer,No,No
More than 5 years,C++,Scikit-Learn,MongoDB,Google Cloud Platform,No,Yes,Yes,Product Manager,No,Yes
None,Ruby,Snort,Redis,Apache,Yes,Yes,Yes,Network Engineer,Yes,Yes
Less than 1 year,JavaScript,GTK,Other (please specify),Terraform,Yes,Yes,No,Front-End Developer,No,Yes
More than 5 years,TypeScript,TensorFlow,MySQL,Jenkins,Yes,No,Yes,Product Manager,No,No
None,Swift,Scikit-Learn,Other (please specify),Other (please specify),No,Yes,No,Data Scientist,Yes,No
More than 5 years,Go,Angular,OracleDB,Terraform,No,No,No,Data Scientist,No,No
1-3 years,Ruby,Pandas,SQLite,Other (please specify),No,Yes,Yes,AI Researcher,No,Yes
1-3 years,C#,Dask,MongoDB,Git,Yes,Yes,No,AI Researcher,No,Yes
None,Swift,Pandas,PostgreSQL,Terraform,Yes,No,Yes,Other (please specify),No,No
None,Rust,Scikit-Learn,Microsoft SQL Server,Ansible,Yes,Yes,No,Project Manager,No,No
3-5 years,C++,Dask,MySQL,CircleCI,No,No,No,Network Engineer,No,Yes
3-5 years,C,Numpy,CassandraDB,GitLab CI/CD,Yes,No,Yes,Front-End Developer,No,Yes
Less than 1 year,PHP,Ruby on Rails,Other (please specify),Ansible,Yes,Yes,No,Full-Stack Developer,No,No
3-5 years,TypeScript,Metasploit,Other (please specify),Google Cloud Platform,Yes,No,No,AI Researcher,No,No
1-3 years,Python,React,CassandraDB,CircleCI,No,Yes,Yes,Product Manager,Yes,No
More than 5 years,C#,JavaFX,Other (please specify),AWS,Yes,Yes,No,DevOps Engineer,Yes,No
3-5 years,Java,Xamarin,Other (please specify),CircleCI,Yes,Yes,No,Database Administrator,No,No
Less than 1 year,C++,Pandas,MongoDB,Google Cloud Platform,No,No,Yes,Game Developer,Yes,No
Less than 1 year,Rust,GTK,MongoDB,Other (please specify),Yes,Yes,Yes,Project Manager,Yes,No
3-5 years,C,Ruby on Rails,CassandraDB,Jenkins,Yes,No,No,Front-End Developer,Yes,Yes
3-5 years,Dart,React Native,SQLite,Ansible,Yes,Yes,No,Machine Learning Engineer,No,No
3-5 years,Go,Scikit-Learn,Microsoft SQL Server,Google Cloud Platform,Yes,Yes,No,Systems Analyst,No,No
Less than 1 year,Go,React Native,Other (please specify),AWS,Yes,No,No,Full-Stack Developer,Yes,No
1-3 years,JavaScript,Pandas,MongoDB,GitLab CI/CD,Yes,Yes,Yes,Software Engineer,No,Yes
1-3 years,Other (please specify),Ruby on Rails,MySQL,Git,Yes,No,Yes,Data Engineer,Yes,No
More than 5 years,Swift,Dask,CassandraDB,Other (please specify),Yes,Yes,Yes,Network Engineer,No,Yes
None,Swift,Flutter,MongoDB,Jenkins,No,No,Yes,Front-End Developer,Yes,Yes
More than 5 years,TypeScript,OpenVAS,PostgreSQL,Google Cloud Platform,Yes,Yes,No,Data Scientist,No,No
Less than 1 year,Ruby,WPF,SQLite,Git,Yes,Yes,Yes,Game Developer,No,No
3-5 years,Go,Flask,PostgreSQL,AWS,Yes,No,No,Back-End Developer,No,No
Less than 1 year,Ruby,SwiftUI,SQLite,Kubernetes,Yes,No,No,Project Manager,No,Yes
Less than 1 year,Swift,Express.js,Other (please specify),Apache,No,Yes,No,AI Researcher,No,Yes
3-5 years,Rust,TensorFlow,OracleDB,Kubernetes,No,Yes,No,Network Engineer,No,No
None,C,Kotlin Multiplatform Mobile (KMM),OracleDB,Terraform,No,Yes,Yes,Software Engineer,Yes,Yes
Less than 1 year,C#,Vue.js,CassandraDB,Ansible,No,Yes,No,Network Engineer,Yes,No
3-5 years,Python,Dask,SQLite,Ansible,No,No,No,Cybersecurity Analyst,No,Yes
1-3 years,JavaScript,React Native,MongoDB,DigitalOcean,Yes,Yes,Yes,Product Manager,Yes,No
None,Rust,CryEngine,Microsoft SQL Server,CircleCI,No,Yes,Yes,Software Engineer,No,No
Less than 1 year,C,Ruby on Rails,Other (please specify),Kubernetes,No,Yes,Yes,Mobile Developer,Yes,No
1-3 years,Rust,Pandas,Redis,Other (please specify),No,No,Yes,IT Support Specialist,No,No
Less than 1 year,JavaScript,Numpy,CassandraDB,Jenkins,No,No,Yes,Product Manager,No,No
More than 5 years,PHP,CryEngine,Redis,GitLab CI/CD,No,Yes,No,Database Administrator,No,Yes
1-3 years,Other (please specify),Apache Spark,Redis,CircleCI,No,No,No,Project Manager,No,No
None,Go,CryEngine,MongoDB,DigitalOcean,Yes,No,Yes,Back-End Developer,Yes,No
Less than 1 year,Swift,OpenVAS,Microsoft SQL Server,Other (please specify),No,Yes,Yes,Cybersecurity Analyst,No,No
None,Python,TensorFlow,PostgreSQL,Other (please specify),No,No,Yes,Network Engineer,Yes,Yes
3-5 years,Rust,PyTorch,Redis,Apache,No,No,Yes,Product Manager,No,No
1-3 years,Dart,Apache Spark,PostgreSQL,Apache,Yes,Yes,Yes,Software Engineer,No,No
None,Python,Next.js,Microsoft SQL Server,CircleCI,No,No,No,Mobile Developer,Yes,No
3-5 years,Kotlin,Snort,MySQL,AWS,Yes,Yes,Yes,Database Administrator,Yes,Yes
None,Dart,Wireshark,OracleDB,CircleCI,Yes,No,No,Machine Learning Engineer,No,No
3-5 years,JavaScript,Kali Linux,Microsoft SQL Server,AWS,No,Yes,No,Software Engineer,No,No
Less than 1 year,TypeScript,Next.js,SQLite,Azure,No,No,No,Product Manager,Yes,Yes
More than 5 years,Kotlin,Numpy,SQLite,DigitalOcean,No,No,Yes,Data Engineer,Yes,No
More than 5 years,None,Kali Linux,SQLite,Jenkins,Yes,Yes,Yes,Data Scientist,Yes,No
Less than 1 year,PHP,Qt,Redis,AWS,No,No,No,DevOps Engineer,Yes,No
1-3 years,TypeScript,Flutter,MySQL,AWS,No,No,No,Systems Analyst,Yes,Yes
More than 5 years,C#,Qt,MySQL,Travis CI,No,Yes,No,Systems Analyst,No,Yes
More than 5 years,Other (please specify),Express.js,Redis,Azure,No,No,No,Mobile Developer,No,Yes
1-3 years,PHP,Angular,Redis,Kubernetes,Yes,No,Yes,Other (please specify),Yes,Yes
More than 5 years,None,React Native,SQLite,Nginx,No,Yes,Yes,Data Scientist,No,Yes
None,Other (please specify),OpenVAS,OracleDB,Google Cloud Platform,Yes,Yes,No,DevOps Engineer,Yes,Yes
1-3 years,Dart,Next.js,Redis,Kubernetes,No,No,No,Cloud Engineer,Yes,Yes
1-3 years,TypeScript,TensorFlow,CassandraDB,Nginx,No,No,No,Project Manager,No,Yes
More than 5 years,PHP,Flutter,MySQL,Google Cloud Platform,Yes,Yes,Yes,Back-End Developer,No,Yes
1-3 years,Other (please specify),GTK,PostgreSQL,DigitalOcean,No,Yes,Yes,AI Researcher,Yes,Yes
Less than 1 year,Ruby,Flutter,Other (please specify),Azure,Yes,Yes,Yes,Back-End Developer,Yes,No
1-3 years,C,GTK,MySQL,GitLab CI/CD,No,Yes,No,Data Scientist,Yes,Yes
More than 5 years,Go,SwiftUI,MySQL,Azure,Yes,No,Yes,Full-Stack Developer,No,Yes
More than 5 years,C#,Vue.js,PostgreSQL,Apache,Yes,No,No,Data Engineer,Yes,Yes
1-3 years,Kotlin,WPF,PostgreSQL,Terraform,Yes,Yes,No,Cybersecurity Analyst,Yes,Yes
None,Go,Dask,Microsoft SQL Server,Other (please specify),No,Yes,Yes,Front-End Developer,No,No
More than 5 years,Python,Angular,OracleDB,Azure,No,Yes,Yes,Front-End Developer,No,No
Less than 1 year,Java,CryEngine,MongoDB,Ansible,No,Yes,No,AI Researcher,Yes,Yes
Less than 1 year,JavaScript,SwiftUI,OracleDB,Apache,Yes,No,No,Cloud Engineer,No,No
1-3 years,Dart,Keras,MySQL,Git,Yes,No,No,IT Support Specialist,No,No
More than 5 years,JavaScript,Numpy,Redis,DigitalOcean,Yes,No,Yes,Software Engineer,Yes,No
More than 5 years,JavaScript,Nestjs,OracleDB,Jenkins,Yes,No,Yes,Cybersecurity Analyst,Yes,Yes
None,TypeScript,Godot,Other (please specify),Azure,No,Yes,Yes,Systems Analyst,No,No
More than 5 years,JavaScript,Kali Linux,Microsoft SQL Server,CircleCI,No,Yes,Yes,Software Engineer,Yes,Yes
More than 5 years,Ruby,Dask,SQLite,Other (please specify),No,Yes,No,Game Developer,Yes,No
1-3 years,Dart,React Native,CassandraDB,Azure,Yes,Yes,No,Software Engineer,No,No
3-5 years,Swift,React Native,SQLite,AWS,No,No,Yes,Data Engineer,No,No
1-3 years,C++,React,PostgreSQL,Travis CI,No,Yes,Yes,AI Researcher,Yes,Yes
3-5 years,JavaScript,CryEngine,CassandraDB,AWS,No,Yes,Yes,Back-End Developer,Yes,No
More than 5 years,Python,GTK,OracleDB,AWS,No,Yes,Yes,Systems Analyst,No,Yes
3-5 years,Other (please specify),Unity,SQLite,Git,Yes,Yes,Yes,Cloud Engineer,Yes,No
1-3 years,Kotlin,Qt,MySQL,Ansible,No,No,No,Product Manager,Yes,Yes
None,Dart,TensorFlow,Redis,AWS,No,Yes,Yes,Back-End Developer,No,Yes
None,Python,GTK,Redis,Git,Yes,Yes,No,Back-End Developer,No,Yes
Less than 1 year,TypeScript,Numpy,Redis,Travis CI,No,Yes,No,Robotics Engineer,No,No
Less than 1 year,Swift,Metasploit,OracleDB,Other (please specify),Yes,No,No,Software Engineer,Yes,Yes
None,Dart,Unity,MongoDB,Google Cloud Platform,No,No,No,Network Engineer,No,No
1-3 years,Swift,GTK,OracleDB,Other (please specify),Yes,No,No,Full-Stack Developer,No,No
None,JavaScript,OpenVAS,MongoDB,GitLab CI/CD,No,No,Yes,Software Engineer,Yes,No
3-5 years,Other (please specify),Metasploit,PostgreSQL,Apache,No,Yes,No,Product Manager,No,No
1-3 years,Other (please specify),Numpy,PostgreSQL,AWS,Yes,Yes,No,Other (please specify),No,No
None,Python,OpenVAS,MongoDB,Terraform,Yes,Yes,No,Full-Stack Developer,Yes,No
More than 5 years,C#,OpenVAS,MySQL,CircleCI,Yes,No,No,Data Engineer,Yes,No
None,JavaScript,Express.js,Other (please specify),AWS,No,No,Yes,Cloud Engineer,No,Yes
More than 5 years,Kotlin,Flask,MongoDB,Docker,No,No,Yes,Data Scientist,Yes,No
3-5 years,PHP,Next.js,MySQL,Azure,No,No,No,Front-End Developer,No,Yes
3-5 years,Other (please specify),Kotlin Multiplatform Mobile (KMM),SQLite,Kubernetes,Yes,Yes,Yes,Systems Analyst,Yes,Yes
Less than 1 year,C#,React Native,SQLite,GitLab CI/CD,No,Yes,No,Front-End Developer,Yes,No
3-5 years,Go,Kotlin Multiplatform Mobile (KMM),PostgreSQL,Apache,Yes,No,Yes,Systems Analyst,No,No
3-5 years,Swift,WPF,OracleDB,Azure,Yes,Yes,No,DevOps Engineer,Yes,Yes
Less than 1 year,TypeScript,Qt,Other (please specify),Other (please specify),No,Yes,Yes,IT Support Specialist,Yes,Yes
3-5 years,C++,.NET Core,PostgreSQL,Git,Yes,Yes,No,Full-Stack Developer,No,Yes
1-3 years,TypeScript,Kotlin Multiplatform Mobile (KMM),PostgreSQL,Terraform,No,Yes,Yes,Front-End Developer,Yes,Yes
Less than 1 year,TypeScript,WPF,MongoDB,Kubernetes,No,No,No,Software Engineer,No,No
None,C++,Flutter,PostgreSQL,Terraform,No,No,No,Full-Stack Developer,No,Yes
Less than 1 year,Go,Metasploit,MongoDB,Travis CI,Yes,No,Yes,Robotics Engineer,Yes,No
None,Other (please specify),PyTorch,OracleDB,Nginx,Yes,Yes,Yes,Data Engineer,Yes,Yes
3-5 years,TypeScript,Express.js,Microsoft SQL Server,Apache,Yes,No,Yes,Robotics Engineer,No,Yes
Less than 1 year,Kotlin,JavaFX,MySQL,DigitalOcean,Yes,No,No,Data Scientist,Yes,No
More than 5 years,Rust,Snort,CassandraDB,Google Cloud Platform,Yes,No,Yes,Other (please specify),No,Yes
1-3 years,Other (please specify),Flutter,MySQL,Kubernetes,No,No,Yes,Project Manager,Yes,Yes
Less than 1 year,C#,PyTorch,PostgreSQL,Jenkins,Yes,Yes,Yes,Game Developer,No,No
Less than 1 year,Kotlin,React Native,PostgreSQL,CircleCI,No,Yes,Yes,Other (please specify),Yes,Yes
Less than 1 year,None,Nestjs,CassandraDB,Git,Yes,No,Yes,Game Developer,Yes,Yes
Less than 1 year,PHP,Nestjs,CassandraDB,GitLab CI/CD,Yes,Yes,No,Database Administrator,Yes,No
1-3 years,Kotlin,WPF,CassandraDB,Travis CI,Yes,Yes,Yes,Systems Analyst,No,Yes
None,Ruby,Next.js,CassandraDB,Other (please specify),Yes,No,Yes,Mobile Developer,Yes,No
None,JavaScript,Xamarin,Microsoft SQL Server,Ansible,Yes,No,Yes,Front-End Developer,No,Yes
Less than 1 year,Java,Pandas,MySQL,Docker,No,Yes,Yes,Full-Stack Developer,Yes,Yes
None,Rust,Flask,Other (please specify),Google Cloud Platform,Yes,No,Yes,Cybersecurity Analyst,Yes,Yes
More than 5 years,Go,Qt,MongoDB,GitLab CI/CD,No,Yes,No,Cybersecurity Analyst,Yes,Yes
None,PHP,SwiftUI,MySQL,Google Cloud Platform,Yes,Yes,No,Other (please specify),No,No
Less than 1 year,None,Nestjs,Other (please specify),Terraform,No,Yes,No,Software Engineer,Yes,Yes
Less than 1 year,JavaScript,OpenVAS,MongoDB,Apache,Yes,Yes,No,Product Manager,No,Yes
1-3 years,Swift,Flutter,CassandraDB,Nginx,Yes,Yes,No,Cybersecurity Analyst,No,Yes
More than 5 years,Ruby,Next.js,CassandraDB,Other (please specify),Yes,Yes,No,Mobile Developer,No,No
1-3 years,C#,Flutter,MongoDB,Terraform,No,Yes,Yes,DevOps Engineer,No,No
1-3 years,C#,React Native,MySQL,Nginx,Yes,Yes,No,Machine Learning Engineer,No,No
None,Dart,Ruby on Rails,SQLite,Jenkins,No,No,Yes,Systems Analyst,No,No
Less than 1 year,Ruby,Ruby on Rails,PostgreSQL,Nginx,Yes,No,No,Full-Stack Developer,No,No
3-5 years,C#,Pandas,PostgreSQL,Ansible,Yes,Yes,Yes,DevOps Engineer,Yes,Yes
3-5 years,JavaScript,Nestjs,PostgreSQL,Docker,Yes,Yes,Yes,Machine Learning Engineer,No,No
1-3 years,PHP,SwiftUI,Other (please specify),Ansible,Yes,Yes,No,Network Engineer,No,Yes
3-5 years,C,Electron,MongoDB,Jenkins,Yes,Yes,Yes,Full-Stack Developer,Yes,Yes
More than 5 years,Python,Nestjs,PostgreSQL,Other (please specify),No,No,No,Mobile Developer,No,Yes
1-3 years,C#,Django,MySQL,Travis CI,Yes,Yes,Yes,Machine Learning Engineer,No,No
1-3 years,PHP,Flutter,Other (please specify),GitLab CI/CD,No,No,Yes,Other (please specify),Yes,No
3-5 years,Dart,Unreal Engine,CassandraDB,DigitalOcean,Yes,No,Yes,Other (please specify),Yes,Yes
None,Rust,React,CassandraDB,Ansible,No,No,Yes,DevOps Engineer,Yes,No
None,Java,Nestjs,PostgreSQL,GitLab CI/CD,No,No,No,Game Developer,No,No
3-5 years,C++,Qt,PostgreSQL,Google Cloud Platform,Yes,No,Yes,Full-Stack Developer,Yes,No
More than 5 years,TypeScript,Electron,OracleDB,GitLab CI/CD,No,No,No,Data Engineer,No,Yes
1-3 years,Swift,Nestjs,Other (please specify),Nginx,No,Yes,No,Data Scientist,No,No
1-3 years,None,Numpy,MongoDB,Travis CI,No,No,No,AI Researcher,No,No
More than 5 years,PHP,Express.js,SQLite,Travis CI,Yes,Yes,No,DevOps Engineer,Yes,Yes
3-5 years,PHP,Scikit-Learn,Other (please specify),Terraform,No,Yes,No,Back-End Developer,No,No
Less than 1 year,None,Keras,CassandraDB,Terraform,No,Yes,No,Robotics Engineer,No,No
Less than 1 year,Rust,OpenVAS,MySQL,Apache,No,Yes,No,Full-Stack Developer,No,No
3-5 years,Swift,React Native,Other (please specify),Jenkins,Yes,Yes,Yes,Project Manager,Yes,Yes
None,Ruby,Django,OracleDB,Ansible,No,Yes,No,IT Support Specialist,Yes,Yes
Less than 1 year,Kotlin,Kali Linux,MongoDB,Docker,No,Yes,No,Network Engineer,No,No
Less than 1 year,None,JavaFX,Microsoft SQL Server,Travis CI,No,No,Yes,Software Engineer,No,Yes
Less than 1 year,Kotlin,Unreal Engine,CassandraDB,Other (please specify),Yes,Yes,Yes,Full-Stack Developer,No,No
More than 5 years,Ruby,Flask,CassandraDB,CircleCI,Yes,No,Yes,Data Scientist,No,Yes
More than 5 years,None,Nestjs,OracleDB,Git,Yes,No,No,Other (please specify),No,Yes
None,Kotlin,Svelte,CassandraDB,CircleCI,No,Yes,No,Robotics Engineer,No,No
None,C++,Angular,SQLite,Jenkins,No,Yes,No,Machine Learning Engineer,Yes,No
Less than 1 year,Go,Express.js,Microsoft SQL Server,DigitalOcean,Yes,Yes,Yes,Network Engineer,Yes,Yes
1-3 years,C++,Flutter,PostgreSQL,Nginx,Yes,No,Yes,Software Engineer,Yes,Yes
1-3 years,Go,Scikit-Learn,OracleDB,Terraform,Yes,No,Yes,Machine Learning Engineer,Yes,Yes
1-3 years,JavaScript,Wireshark,Other (please specify),Jenkins,Yes,Yes,Yes,Mobile Developer,Yes,Yes
3-5 years,Other (please specify),Dask,MongoDB,Nginx,No,Yes,Yes,Other (please specify),No,No
None,C,Unity,MongoDB,AWS,Yes,Yes,No,AI Researcher,No,No
Less than 1 year,C++,GTK,OracleDB,Other (please specify),Yes,No,No,Other (please specify),No,Yes
Less than 1 year,C,Kali Linux,CassandraDB,Google Cloud Platform,No,Yes,Yes,Game Developer,Yes,Yes
1-3 years,JavaScript,Wireshark,MongoDB,GitLab CI/CD,Yes,Yes,No,IT Support Specialist,No,Yes
Less than 1 year,Java,WPF,SQLite,Google Cloud Platform,No,No,Yes,Data Engineer,No,Yes
More than 5 years,JavaScript,Dask,Redis,DigitalOcean,Yes,No,Yes,Product Manager,No,No
None,Go,Xamarin,MySQL,Other (please specify),Yes,Yes,No,Front-End Developer,No,Yes
3-5 years,Ruby,Electron,PostgreSQL,GitLab CI/CD,No,Yes,Yes,Network Engineer,No,No
More than 5 years,Python,Scikit-Learn,MongoDB,Git,No,No,Yes,AI Researcher,No,Yes
More than 5 years,Go,Ruby on Rails,SQLite,Apache,Yes,Yes,Yes,Front-End Developer,Yes,No
None,Rust,Nestjs,OracleDB,Azure,Yes,Yes,No,Machine Learning Engineer,No,Yes
1-3 years,Dart,Svelte,CassandraDB,Jenkins,No,Yes,No,Robotics Engineer,No,No
More than 5 years,Ruby,Keras,Redis,Other (please specify),Yes,No,Yes,Database Administrator,No,No
More than 5 years,Swift,Burp Suite,OracleDB,Ansible,Yes,Yes,No,DevOps Engineer,Yes,No
More than 5 years,Ruby,Next.js,Microsoft SQL Server,CircleCI,Yes,Yes,No,Software Engineer,No,No
3-5 years,TypeScript,Qt,MongoDB,Git,No,No,Yes,Project Manager,Yes,No
None,TypeScript,WPF,MongoDB,Other (please specify),Yes,Yes,Yes,Cloud Engineer,No,Yes
None,Swift,.NET Core,OracleDB,Docker,Yes,No,Yes,Cybersecurity Analyst,Yes,No
1-3 years,Kotlin,.NET Core,SQLite,Docker,No,No,No,Mobile Developer,No,Yes
3-5 years,Swift,Svelte,SQLite,Nginx,No,Yes,No,AI Researcher,No,No
Less than 1 year,Go,Flutter,MySQL,Docker,Yes,Yes,Yes,Data Engineer,No,Yes
More than 5 years,Swift,Dask,OracleDB,Jenkins,No,No,No,Full-Stack Developer,Yes,No
More than 5 years,PHP,Unity,OracleDB,Other (please specify),Yes,Yes,No,Robotics Engineer,Yes,No
More than 5 years,Ruby,Snort,MongoDB,Azure,No,Yes,Yes,Machine Learning Engineer,Yes,No
1-3 years,JavaScript,Keras,MongoDB,Kubernetes,No,No,No,Game Developer,No,No
More than 5 years,Swift,CryEngine,MongoDB,DigitalOcean,No,Yes,No,Project Manager,Yes,Yes
3-5 years,Kotlin,Unreal Engine,PostgreSQL,Other (please specify),Yes,No,No,Project Manager,No,Yes
3-5 years,TypeScript,React,SQLite,AWS,Yes,Yes,Yes,Product Manager,No,Yes
Less than 1 year,Other (please specify),JavaFX,PostgreSQL,Jenkins,No,Yes,Yes,Software Engineer,No,Yes
3-5 years,Python,Wireshark,MongoDB,Kubernetes,No,Yes,No,Robotics Engineer,Yes,No
More than 5 years,C++,Keras,Redis,Google Cloud Platform,Yes,Yes,No,Robotics Engineer,Yes,Yes
More than 5 years,Python,Express.js,OracleDB,Kubernetes,No,No,Yes,Mobile Developer,Yes,Yes
More than 5 years,Ruby,TensorFlow,Redis,Kubernetes,Yes,Yes,No,Robotics Engineer,Yes,Yes
